"module name","license","repository"
"@microsoft/fast-element@1.10.1","MIT","https://github.com/Microsoft/fast"
"@microsoft/fast-foundation@2.46.3","MIT","https://github.com/Microsoft/fast"
"@microsoft/fast-react-wrapper@0.1.48","MIT","https://github.com/Microsoft/fast"
"@microsoft/fast-web-utilities@5.4.1","MIT","https://github.com/Microsoft/fast"
"@vscode/codicons@0.0.33","CC-BY-4.0","https://github.com/microsoft/vscode-codicons"
"@vscode/webview-ui-toolkit@1.2.2","MIT","https://github.com/microsoft/vscode-webview-ui-toolkit"
"balanced-match@1.0.2","MIT","https://github.com/juliangruber/balanced-match"
"brace-expansion@1.1.11","MIT","https://github.com/juliangruber/brace-expansion"
"concat-map@0.0.1","MIT","https://github.com/substack/node-concat-map"
"exenv-es6@1.1.1","MIT","https://github.com/chrisdholt/exenv-es6"
"fs.realpath@1.0.0","ISC","https://github.com/isaacs/fs.realpath"
"glob@7.2.2","ISC","https://github.com/isaacs/node-glob"
"inflight@1.0.6","ISC","https://github.com/npm/inflight"
"inherits@2.0.4","ISC","https://github.com/isaacs/inherits"
"isexe@2.0.0","ISC","https://github.com/isaacs/isexe"
"js-tokens@4.0.0","MIT","https://github.com/lydell/js-tokens"
"json5@2.2.3","MIT","https://github.com/json5/json5"
"loose-envify@1.4.0","MIT","https://github.com/zertosh/loose-envify"
"minimatch@3.1.2","ISC","https://github.com/isaacs/minimatch"
"mplstyle@1.14.2","MIT","https://github.com/yy0931/vscode-mplstyle"
"once@1.4.0","ISC","https://github.com/isaacs/once"
"path-is-absolute@1.0.1","MIT","https://github.com/sindresorhus/path-is-absolute"
"react@18.1.0","MIT","https://github.com/facebook/react"
"rimraf@3.0.2","ISC","https://github.com/isaacs/rimraf"
"tabbable@5.3.2","MIT","https://github.com/focus-trap/tabbable"
"tmp@0.2.1","MIT","https://github.com/raszi/node-tmp"
"tslib@1.14.1","0BSD","https://github.com/Microsoft/tslib"
"which@3.0.1","ISC","https://github.com/npm/node-which"
"wrappy@1.0.2","ISC","https://github.com/npm/wrappy"
